timestamp,app_name
2025-11-11T19:24:09.212040,Code
2025-11-11T19:24:33.313062,Google Chrome
2025-11-11T19:24:42.349901,Code
2025-11-11T19:24:46.371647,Google Chrome
2025-11-11T19:24:57.425297,Code
2025-11-11T19:25:25.541365,Google Chrome
2025-11-11T19:25:47.636816,Code
2025-11-11T19:26:18.778695,Google Chrome
2025-11-11T19:26:32.843318,Code
2025-11-11T19:27:15.028428,Music
2025-11-11T19:27:24.058031,Google Chrome
2025-11-11T19:27:32.087131,Code
2025-11-11T19:27:33.093763,Music
2025-11-11T19:27:39.112842,Code
2025-11-11T19:27:50.155552,Music
2025-11-11T19:27:51.161537,Code
2025-11-11T19:27:52.168159,Google Chrome
2025-11-11T19:28:00.209257,Code
2025-11-11T19:28:24.324871,Google Chrome
2025-11-11T19:28:59.479056,Code
2025-11-11T19:29:27.615335,Music
2025-11-11T19:29:28.619657,Google Chrome
2025-11-11T19:29:31.634981,Code
2025-11-11T19:29:41.694969,Google Chrome
2025-11-11T19:29:44.707277,Code
2025-11-11T19:30:01.779414,Google Chrome
2025-11-11T19:30:23.880504,Code
2025-11-11T19:30:25.891692,Google Chrome
2025-11-11T19:30:27.900562,Code
2025-11-11T19:30:40.960474,Google Chrome
2025-11-11T19:30:54.009994,Code
2025-11-11T19:32:07.334297,Google Chrome
2025-11-11T19:32:12.358414,Code
2025-11-11T19:32:24.413324,Google Chrome
2025-11-11T19:32:27.429891,Code
2025-11-11T19:32:30.441377,Google Chrome
2025-11-11T19:32:38.547701,Code
2025-11-11T19:33:54.875354,Google Chrome
2025-11-11T19:33:58.896708,Code
2025-11-11T19:34:08.938370,Google Chrome
2025-11-11T19:34:28.024311,Code
2025-11-11T19:34:44.100172,Google Chrome
2025-11-11T19:34:45.106513,Code
2025-11-11T19:35:51.466294,Music
2025-11-11T19:35:52.472296,Google Chrome
2025-11-11T19:37:27.884143,Code
2025-11-11T19:38:52.295973,Google Chrome
2025-11-11T19:39:02.333507,Code
2025-11-11T19:39:36.485531,Google Chrome
2025-11-11T19:39:37.491639,Code
2025-11-11T19:39:38.493316,Music
2025-11-11T19:39:41.506766,Code
2025-11-13T21:44:44.088572,Code
2025-11-13T21:45:39.940018,Code
2025-11-13T21:45:44.960870,Google Chrome
2025-11-13T21:45:47.973633,Code
2025-11-13T21:45:50.988191,Google Chrome
2025-11-13T21:45:55.007569,Code
2025-11-13T21:48:59.980203,Code
2025-11-13T21:49:37.316959,Google Chrome - FocusPulse
2025-11-13T21:49:38.503468,Google Chrome - New Tab
2025-11-13T21:49:39.686264,Google Chrome - youtube - Google Search
2025-11-13T21:49:40.828806,Google Chrome - New Tab
2025-11-13T21:49:43.138448,Google Chrome - Gmail
2025-11-13T21:49:44.287119,"Google Chrome - Inbox (9,848) - siddhibansal2604@gmail.com - Gmail"
2025-11-13T21:49:48.937220,Google Chrome - youtube - Google Search
2025-11-13T21:49:50.123508,"Google Chrome - Inbox (9,848) - siddhibansal2604@gmail.com - Gmail"
2025-11-13T21:49:52.309222,Code
2025-11-13T21:50:15.561723,Google Chrome - youtube - Google Search
2025-11-13T21:50:16.695986,Google Chrome - YouTube
2025-11-13T21:50:20.166423,Google Chrome - (439) YouTube
2025-11-13T21:50:23.503580,Code
2025-11-13T21:50:38.760811,Google Chrome - (439) YouTube
2025-11-13T21:50:40.940076,Code
2025-11-13T21:50:45.140301,Google Chrome - (439) YouTube
2025-11-13T21:50:48.611404,"Google Chrome - Inbox (9,848) - siddhibansal2604@gmail.com - Gmail"
2025-11-13T21:50:49.795706,Google Chrome - (439) YouTube
2025-11-13T21:50:50.802702,Code
2025-11-13T21:52:11.313090,Google Chrome - Gmail
2025-11-13T21:52:12.453190,"Google Chrome - Inbox (9,848) - siddhibansal2604@gmail.com - Gmail"
2025-11-13T21:52:14.748791,Google Chrome - New Tab
2025-11-13T21:52:17.058179,Google Chrome - LinkedIn
2025-11-13T21:52:19.349770,Google Chrome - (8) Feed | LinkedIn
2025-11-13T21:52:20.484405,Google Chrome
2025-11-13T21:52:21.631844,Google Chrome - Grow | LinkedIn
2025-11-13T21:52:28.569793,Google Chrome - (6) Feed | LinkedIn
2025-11-13T21:52:32.044174,Google Chrome - LinkedIn
2025-11-13T21:52:38.993231,Google Chrome - (6) Feed | LinkedIn
2025-11-13T21:52:43.575346,Google Chrome - (6) Siddhi Bansal | LinkedIn
2025-11-13T21:52:47.080818,Google Chrome - LinkedIn
2025-11-13T21:52:48.240250,Google Chrome - (6) LinkedIn
2025-11-13T21:52:49.373264,Google Chrome - (6) Feed | LinkedIn
2025-11-13T21:52:51.750588,Google Chrome
2025-11-13T21:52:52.914315,Google Chrome - LinkedIn
2025-11-13T21:52:57.600957,Google Chrome - Games | LinkedIn
2025-11-13T21:52:58.774809,Google Chrome - (6) Games | LinkedIn
2025-11-13T21:52:59.944534,Google Chrome
2025-11-13T21:53:01.083442,Google Chrome - Zip | LinkedIn
2025-11-13T21:53:04.594884,Google Chrome - Games | LinkedIn
2025-11-13T21:53:05.601027,Code
2025-11-13T21:55:11.381035,Google Chrome - (439) YouTube
2025-11-13T21:55:12.515808,Google Chrome - FocusPulse
2025-11-13T21:55:24.100786,Code
